index,id_unit,id_unit_role,id_num,vm_unit_type,unit_type,grouped_unit_type,vignette,echelon,joint_phase,role,Mine_or_IED,Small_Caliber,Side_IED_or_EFP,RPG,Medium_Caliber,IDF,Non_Kinetic,Trafficability,Soft_Soil,Max_Speed,Cross_Country_Speed,Dash_Speed,Roll_Over_Potential,Turning_Diameter,Fording,mobility,force_protection,deep,close,support,on_road,off_road
1,1,2,A10,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Command and Control,8,6,8,8,8,6,6,8,5,6,6,8,6,5,6,50,50,0,10,90,50,50
2,1,3,A10,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Logistics Transport,8,6,8,8,8,6,6,8,5,6,6,8,6,5,6,50,50,0,30,70,90,10
3,1,3,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Logistics Transport,20,5,10,10,5,9,5,5,5,5,5,5,5,2,4,36,64,0,10,90,95,5
4,1,8,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Prime Mover,20,5,10,10,5,9,5,5,5,5,5,5,5,2,4,36,64,0,10,90,95,5
5,3,11,A15,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 1,ABCT,III,Logistics Transport,10,10,0,10,10,0,0,10,20,0,10,0,0,20,0,60,40,0,50,50,90,10
6,4,14,A16,Combined Arms BN HQ,Combined Arms BN HQ,BCT BN or BDE HQs,Vignette 1,ABCT,III,Command and Control,10,10,10,5,0,5,0,20,20,5,10,5,0,0,0,60,40,0,100,0,90,10
7,4,15,A16,Combined Arms BN HQ,Combined Arms BN HQ,BCT BN or BDE HQs,Vignette 1,ABCT,III,Logistics Transport,20,20,5,10,0,0,0,20,10,5,0,0,5,0,5,45,55,0,100,0,90,10
8,5,16,A18,EAB Engineer CO,EAB Engineer CO,EAB Combat Support,Vignette 1,EAB,III,Command and Control,8,10,7,1,10,8,1,15,10,3,7,1,7,5,7,55,45,0,90,10,40,60
9,5,17,A18,EAB Engineer CO,EAB Engineer CO,EAB Combat Support,Vignette 1,EAB,III,Logistics Transport,8,10,7,1,10,8,1,15,10,3,7,1,7,5,7,55,45,0,90,10,70,30
10,1,2,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Command and Control,8,20,10,8,2,3,2,15,7,0,2,18,2,2,1,47,53,0,50,50,60,40
11,1,3,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Logistics Transport,20,20,5,5,1,4,1,2,20,1,1,2,4,4,10,44,56,0,65,35,80,20
12,1,20,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 1,EAB,III,Maintenance Contact Truck,15,20,6,7,0,1,0,15,15,0,12,5,0,0,4,51,49,0,65,35,60,40
13,6,21,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 1,ABCT,III,Command and Control,10,20,10,10,10,10,10,10,0,0,0,0,10,0,0,20,80,0,80,20,90,10
14,6,22,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 1,ABCT,III,Logistics Transport,10,10,10,10,5,10,5,10,0,5,10,0,10,5,0,40,60,0,70,30,90,10
15,6,23,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 1,ABCT,III,Admin-C4I,10,10,10,10,10,10,10,10,10,0,0,0,10,0,0,30,70,0,80,20,90,10
16,7,26,A3,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,ABCT,III,Command and Control,20,20,5,5,0,5,5,10,5,5,0,5,5,5,5,40,60,0,80,20,60,40
17,7,27,A3,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,ABCT,III,Logistics Transport,10,10,5,5,5,5,5,10,5,0,15,5,5,5,10,55,45,0,70,30,80,20
18,8,30,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 1,ABCT,III,Command and Control,15,5,15,15,5,10,5,4,2,4,4,2,5,4,5,30,70,0,100,0,90,10
19,8,31,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 1,ABCT,III,Admin-C4I,15,5,15,15,5,10,5,4,2,4,4,2,5,4,5,30,70,0,100,0,90,10
20,8,33,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 1,ABCT,III,Retrans Vehicle,15,5,15,20,5,20,2,2,4,2,0,2,4,2,2,18,82,0,100,0,30,70
21,9,34,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 1,ABCT,III,Command and Control,10,20,10,5,0,0,0,10,10,0,10,12,3,7,3,55,45,0,100,0,30,70
22,9,35,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 1,ABCT,III,Gun Truck,13,20,12,8,0,0,0,10,10,4,6,0,5,5,7,47,53,0,100,0,50,50
23,9,36,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 1,ABCT,III,Intel Collection,5,20,4,3,0,0,10,10,10,0,6,8,10,7,7,58,42,0,100,0,40,60
24,10,37,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,ABCT,III,Command and Control,5,1,5,5,1,1,1,20,20,10,10,10,0,1,10,81,19,0,100,0,90,10
25,10,38,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,ABCT,III,Logistics Transport,15,5,15,10,5,10,0,5,5,5,10,10,0,0,5,40,60,0,100,0,75,25
26,10,39,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,ABCT,III,Admin-C4I,12,3,10,10,5,5,0,15,15,15,3,3,0,0,4,55,45,0,100,0,75,25
27,10,43,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,ABCT,III,Maintenance Contact Truck,10,0,5,15,0,25,0,0,10,10,10,10,0,5,0,45,55,0,100,0,90,10
28,11,44,A8,BCT Transportation CO,BCT Transportation CO,BCT Sustainment,Vignette 1,ABCT,III,Command and Control,8,20,5,17,0,0,0,4,9,10,16,5,6,0,0,50,50,0,95,5,80,20
29,12,48,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 1,ABCT,III,Command and Control,10,10,10,4,10,6,5,7,6,5,7,6,4,6,4,45,55,0,90,10,60,40
30,12,49,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 1,ABCT,III,Logistics Transport,15,10,5,5,10,5,4,3,6,3,10,3,10,8,3,46,54,0,90,10,60,40
31,12,50,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 1,ABCT,III,Admin-C4I,20,10,5,5,5,4,4,2,4,3,20,10,2,5,1,47,53,0,90,10,60,40
32,12,53,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 1,ABCT,III,Maintenance Contact Truck,7,6,6,3,6,4,3,7,5,8,7,15,10,12,1,65,35,0,100,0,60,40
33,1,2,A10,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Command and Control,3,5,3,5,5,3,15,10,6,10,10,10,8,6,1,61,39,0,20,80,70,30
34,1,3,A10,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Logistics Transport,10,10,10,4,10,8,2,10,5,6,5,5,10,3,2,46,54,0,30,70,75,25
35,2,5,A11,EAB Quartermaster CO,EAB Quartermaster CO,EAB Sustainment,Vignette 4,EAB,III,Command and Control,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,40,60,0,5,95,95,5
36,2,6,A11,EAB Quartermaster CO,EAB Quartermaster CO,EAB Sustainment,Vignette 4,EAB,III,Logistics Transport,8,8,8,8,8,6,6,5,7,7,7,7,5,5,5,48,52,0,5,95,95,5
37,2,54,A11,EAB Quartermaster CO,EAB Quartermaster CO,EAB Sustainment,Vignette 4,EAB,III,Admin-C4I,10,10,5,10,10,5,5,5,6,10,7,7,5,0,5,45,55,0,10,90,90,10
38,1,2,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Command and Control,10,5,5,5,5,20,3,9,7,10,5,10,3,1,2,47,53,0,10,90,90,10
39,1,3,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Logistics Transport,10,5,5,5,5,20,3,9,7,10,5,10,3,1,2,47,53,0,10,90,90,10
